,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Min Temperature,Wind Speed,City ID
69,Storsteinnes,100,NO,1579657151,92,69.24,19.23,273.15,270.93,15.4,3136023
70,Meulaboh,12,ID,1579656422,82,4.14,96.13,300.08,300.08,3.49,1214488
71,Phitsanulok,80,TH,1579657152,83,16.92,100.5,303.71,296.15,1.5,1607707
72,Luderitz,0,NA,1579657152,82,-26.65,15.16,291.15,291.15,1.0,3355672
73,Sorland,40,NO,1579656557,59,67.67,12.69,276.15,276.15,6.2,3137469
74,Yerbogachen,99,RU,1579657153,97,61.28,108.01,244.59,244.59,2.73,2012956
75,Kaitangata,99,NZ,1579657153,73,-46.28,169.85,293.71,293.71,4.07,2208248
76,Tasiilaq,100,GL,1579657153,85,65.61,-37.64,268.15,268.15,18.0,3424607
77,Cayenne,61,GF,1579656574,88,4.93,-52.33,297.15,297.15,1.5,3382160
78,Bafq,0,IR,1579657154,76,31.61,55.41,276.0,276.0,1.05,142255
79,Port Elizabeth,90,ZA,1579656605,100,-33.92,25.57,292.15,292.15,5.1,964420
80,Vaini,20,TO,1579657154,74,-21.2,-175.2,301.15,301.15,5.7,4032243
81,Puerto Ayora,75,EC,1579656859,74,-0.74,-90.35,300.15,298.15,4.1,3652764
82,Aquiraz,84,BR,1579656856,74,-3.9,-38.39,301.15,300.93,3.6,3407407
83,Jacareacanga,100,BR,1579657155,97,-6.22,-57.75,297.1,297.1,0.65,3397763
84,Torbay,20,CA,1579656914,72,47.67,-52.73,263.71,262.15,2.6,6167817
85,Geraldton,20,AU,1579657155,43,-28.77,114.6,296.15,296.15,10.3,2070998
86,Hengyang,100,CN,1579657156,87,26.89,112.61,284.51,284.51,1.32,1808370
87,Abu Samrah,0,SY,1579656885,73,35.3,37.18,276.14,276.14,1.25,172515
88,Hong Kong,40,HK,1579657156,82,22.29,114.16,294.82,290.37,3.1,1819729
89,Port Hueneme,75,US,1579657157,67,34.15,-119.2,288.15,283.15,4.1,5384339
90,Lac du Bonnet,99,CA,1579657157,90,50.25,-96.06,264.82,264.82,3.58,6014443
91,Kotaparh,1,IN,1579657157,69,19.15,82.35,293.75,293.75,1.85,1266029
92,Krasnosel'kup,100,RU,1579656563,95,65.7,82.47,249.3,249.3,7.57,1502073
93,Praia,67,CV,1579657157,77,14.92,-23.51,294.15,294.15,5.7,3374333
94,Richards Bay,39,ZA,1579656967,72,-28.78,32.04,295.05,295.05,3.62,962367
95,Kumul,44,CN,1579656575,78,42.8,93.45,259.93,259.93,0.4,1529484
96,Esperance,90,AU,1579657158,72,-33.87,121.9,289.15,289.15,9.3,2071860
97,Ribeira Grande,56,PT,1579656869,73,38.52,-28.7,285.83,285.83,6.05,3372707
98,Barrow,90,US,1579657159,77,71.29,-156.79,258.15,258.15,4.1,5880054
99,Eureka,1,US,1579656586,76,40.8,-124.16,284.26,282.59,2.1,5563397
100,Constitucion,0,CL,1579657160,75,-35.33,-72.42,286.6,286.6,0.85,3893726
101,Tavricheskoye,75,RU,1579657160,85,54.59,73.64,261.15,261.15,4.0,1489938
102,Honiara,40,SB,1579657160,70,-9.43,159.95,304.15,304.15,3.6,2108502
103,Luganville,40,VU,1579656997,66,-15.53,167.17,302.15,302.15,3.6,2136150
104,Grindavik,90,IS,1579656973,100,63.84,-22.43,279.15,279.15,11.8,3416888
105,Cape Town,20,ZA,1579656842,77,-33.93,18.42,293.15,290.37,2.6,3369157
106,Aksarka,100,RU,1579657161,93,66.56,67.8,258.5,258.5,7.89,1512019
107,Shache,2,CN,1579657162,59,38.42,77.24,266.84,266.84,1.0,1280037
108,Sokoni,75,TZ,1579657162,94,-6.43,39.55,299.15,299.15,5.1,149812
109,Maloy,100,NO,1579657162,75,61.94,5.11,279.15,274.82,7.7,3146487
110,Upernavik,90,GL,1579656571,60,72.79,-56.15,257.7,257.7,2.71,3418910
111,Vila,0,PT,1579657163,75,42.03,-8.16,282.59,278.71,0.5,7117100
112,Amnat Charoen,58,TH,1579657163,78,15.86,104.63,295.37,295.37,3.62,1621060
113,Pogar,100,RU,1579657164,91,52.55,33.26,276.17,276.17,6.85,507875
114,Safford,90,US,1579657164,76,32.83,-109.71,284.15,280.93,1.5,5312476
115,Nouna,100,BF,1579657165,23,12.73,-3.87,296.79,296.79,1.59,2357163
116,Zhaotong,0,CN,1579657165,51,27.32,103.72,282.25,282.25,2.9,1784841
117,Ayagoz,100,KZ,1579657165,93,47.97,80.44,265.35,265.35,6.86,1525988
118,Hualmay,100,PE,1579657165,87,-11.1,-77.61,293.64,293.64,1.22,3939761
119,The Valley,11,AI,1579656930,69,18.22,-63.06,298.15,298.15,3.6,3573374
120,Praia da Vitoria,75,PT,1579657166,87,38.73,-27.07,286.15,286.15,10.13,3372760
121,Ilulissat,94,GL,1579656925,60,69.22,-51.1,261.15,261.15,3.1,3423146
122,Kahului,40,US,1579657166,48,20.89,-156.47,301.15,296.48,6.7,5847411
123,Kushima,75,JP,1579657167,66,31.46,131.23,284.15,283.71,3.1,1895695
124,Saint-Augustin,0,CA,1579657167,77,51.23,-58.65,258.51,258.51,5.23,6137462
125,Springfield,1,US,1579657108,68,37.22,-93.3,272.15,270.37,7.2,4409896
126,Ulaangom,64,MN,1579657167,84,49.98,92.07,251.55,251.55,0.96,1515029
127,Satuk,32,TR,1579657168,90,41.23,32.38,267.03,267.03,1.16,737723
128,Ust-Tsilma,100,RU,1579657168,97,65.44,52.15,268.5,268.5,0.59,477940
129,Klaebu,75,NO,1579657168,74,63.3,10.48,276.15,273.71,19.5,7626381
130,Ponta Delgada,75,PT,1579656879,71,37.73,-25.67,287.15,287.15,5.1,3372783
131,Selkirk,75,CA,1579657017,78,50.14,-96.88,264.82,263.71,7.2,6144054
132,Baharly,0,TM,1579657169,80,38.44,57.43,271.17,271.17,3.38,162158
133,Narsaq,100,GL,1579657170,85,60.92,-46.05,269.15,269.15,2.1,3421719
